Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
00:24:38  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL154          |null                |null                
00:24:39  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_DRL154          |null                |null                
00:24:41  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_DRL154          |null                |null                
00:24:42  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_DRL154          |null                |null                
00:24:43  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL154          |null                |Turning             
00:24:44  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL154          |null                |Turning             
00:24:46  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_DRL154          |null                |Turning             
00:24:47  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL154          |null                |Turning             
00:24:48  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL154          |null                |Turning             
00:24:50  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL154          |null                |Turning             
00:24:51  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL154          |null                |Drilling            
00:24:52  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL154          |null                |Drilling            
00:24:54  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL154          |null                |Drilling            
00:24:55  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL154          |null                |Drilling            
00:24:57  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL154          |null                |Turning             
00:24:58  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL154          |null                |Turning             
00:24:59  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL154          |null                |Turning             
00:25:01  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL154          |null                |Turning             
00:25:02  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL154          |null                |Turning             
