Node Name,Node ID
QualifiedName(0:Root),TwoByteNodeId(i=84)
  QualifiedName(0:Objects),NumericNodeId(i=85)
    QualifiedName(0:Server),NumericNodeId(i=2253)
      QualifiedName(0:ServerArray),NumericNodeId(i=2254)
      QualifiedName(0:NamespaceArray),NumericNodeId(i=2255)
      QualifiedName(0:ServerStatus),NumericNodeId(i=2256)
        QualifiedName(0:StartTime),NumericNodeId(i=2257)
        QualifiedName(0:CurrentTime),NumericNodeId(i=2258)
        QualifiedName(0:State),NumericNodeId(i=2259)
        QualifiedName(0:BuildInfo),NumericNodeId(i=2260)
          QualifiedName(0:ProductUri),NumericNodeId(i=2262)
          QualifiedName(0:ManufacturerName),NumericNodeId(i=2263)
          QualifiedName(0:ProductName),NumericNodeId(i=2261)
          QualifiedName(0:SoftwareVersion),NumericNodeId(i=2264)
          QualifiedName(0:BuildNumber),NumericNodeId(i=2265)
          QualifiedName(0:BuildDate),NumericNodeId(i=2266)
        QualifiedName(0:SecondsTillShutdown),NumericNodeId(i=2992)
        QualifiedName(0:ShutdownReason),NumericNodeId(i=2993)
      QualifiedName(0:ServiceLevel),NumericNodeId(i=2267)
      QualifiedName(0:Auditing),NumericNodeId(i=2994)
      QualifiedName(0:EstimatedReturnTime),NumericNodeId(i=12885)
      QualifiedName(0:LocalTime),NumericNodeId(i=17634)
      QualifiedName(0:ServerCapabilities),NumericNodeId(i=2268)
        QualifiedName(0:ServerProfileArray),NumericNodeId(i=2269)
        QualifiedName(0:LocaleIdArray),NumericNodeId(i=2271)
        QualifiedName(0:MinSupportedSampleRate),NumericNodeId(i=2272)
        QualifiedName(0:MaxBrowseContinuationPoints),NumericNodeId(i=2735)
        QualifiedName(0:MaxQueryContinuationPoints),NumericNodeId(i=2736)
        QualifiedName(0:MaxHistoryContinuationPoints),NumericNodeId(i=2737)
        QualifiedName(0:SoftwareCertificates),NumericNodeId(i=3704)
        QualifiedName(0:MaxArrayLength),NumericNodeId(i=11702)
        QualifiedName(0:MaxStringLength),NumericNodeId(i=11703)
        QualifiedName(0:MaxByteStringLength),NumericNodeId(i=12911)
        QualifiedName(0:OperationLimits),NumericNodeId(i=11704)
          QualifiedName(0:MaxNodesPerRead),NumericNodeId(i=11705)
          QualifiedName(0:MaxNodesPerHistoryReadData),NumericNodeId(i=12165)
          QualifiedName(0:MaxNodesPerHistoryReadEvents),NumericNodeId(i=12166)
          QualifiedName(0:MaxNodesPerWrite),NumericNodeId(i=11707)
          QualifiedName(0:MaxNodesPerHistoryUpdateData),NumericNodeId(i=12167)
          QualifiedName(0:MaxNodesPerHistoryUpdateEvents),NumericNodeId(i=12168)
          QualifiedName(0:MaxNodesPerMethodCall),NumericNodeId(i=11709)
          QualifiedName(0:MaxNodesPerBrowse),NumericNodeId(i=11710)
          QualifiedName(0:MaxNodesPerRegisterNodes),NumericNodeId(i=11711)
          QualifiedName(0:MaxNodesPerTranslateBrowsePathsToNodeIds),NumericNodeId(i=11712)
          QualifiedName(0:MaxNodesPerNodeManagement),NumericNodeId(i=11713)
          QualifiedName(0:MaxMonitoredItemsPerCall),NumericNodeId(i=11714)
        QualifiedName(0:ModellingRules),NumericNodeId(i=2996)
        QualifiedName(0:AggregateFunctions),NumericNodeId(i=2997)
        QualifiedName(0:RoleSet),NumericNodeId(i=15606)
          QualifiedName(0:AddRole),NumericNodeId(i=16301)
            QualifiedName(0:InputArguments),NumericNodeId(i=16302)
            QualifiedName(0:OutputArguments),NumericNodeId(i=16303)
          QualifiedName(0:RemoveRole),NumericNodeId(i=16304)
            QualifiedName(0:InputArguments),NumericNodeId(i=16305)
          QualifiedName(0:Anonymous),NumericNodeId(i=15644)
            QualifiedName(0:Identities),NumericNodeId(i=16192)
            QualifiedName(0:Applications),NumericNodeId(i=16193)
            QualifiedName(0:ApplicationsExclude),NumericNodeId(i=15412)
            QualifiedName(0:Endpoints),NumericNodeId(i=16194)
            QualifiedName(0:EndpointsExclude),NumericNodeId(i=15413)
            QualifiedName(0:AddIdentity),NumericNodeId(i=15648)
              QualifiedName(0:InputArguments),NumericNodeId(i=15649)
            QualifiedName(0:RemoveIdentity),NumericNodeId(i=15650)
              QualifiedName(0:InputArguments),NumericNodeId(i=15651)
            QualifiedName(0:AddApplication),NumericNodeId(i=16195)
              QualifiedName(0:InputArguments),NumericNodeId(i=16196)
            QualifiedName(0:RemoveApplication),NumericNodeId(i=16197)
              QualifiedName(0:InputArguments),NumericNodeId(i=16198)
            QualifiedName(0:AddEndpoint),NumericNodeId(i=16199)
              QualifiedName(0:InputArguments),NumericNodeId(i=16200)
            QualifiedName(0:RemoveEndpoint),NumericNodeId(i=16201)
              QualifiedName(0:InputArguments),NumericNodeId(i=16202)
          QualifiedName(0:AuthenticatedUser),NumericNodeId(i=15656)
            QualifiedName(0:Identities),NumericNodeId(i=16203)
            QualifiedName(0:Applications),NumericNodeId(i=16204)
            QualifiedName(0:ApplicationsExclude),NumericNodeId(i=15414)
            QualifiedName(0:Endpoints),NumericNodeId(i=16205)
            QualifiedName(0:EndpointsExclude),NumericNodeId(i=15415)
            QualifiedName(0:AddIdentity),NumericNodeId(i=15660)
              QualifiedName(0:InputArguments),NumericNodeId(i=15661)
            QualifiedName(0:RemoveIdentity),NumericNodeId(i=15662)
              QualifiedName(0:InputArguments),NumericNodeId(i=15663)
            QualifiedName(0:AddApplication),NumericNodeId(i=16206)
              QualifiedName(0:InputArguments),NumericNodeId(i=16207)
            QualifiedName(0:RemoveApplication),NumericNodeId(i=16208)
              QualifiedName(0:InputArguments),NumericNodeId(i=16209)
            QualifiedName(0:AddEndpoint),NumericNodeId(i=16210)
              QualifiedName(0:InputArguments),NumericNodeId(i=16211)
            QualifiedName(0:RemoveEndpoint),NumericNodeId(i=16212)
              QualifiedName(0:InputArguments),NumericNodeId(i=16213)
          QualifiedName(0:Observer),NumericNodeId(i=15668)
            QualifiedName(0:Identities),NumericNodeId(i=16214)
            QualifiedName(0:Applications),NumericNodeId(i=16215)
            QualifiedName(0:ApplicationsExclude),NumericNodeId(i=15416)
            QualifiedName(0:Endpoints),NumericNodeId(i=16216)
            QualifiedName(0:EndpointsExclude),NumericNodeId(i=15417)
            QualifiedName(0:AddIdentity),NumericNodeId(i=15672)
              QualifiedName(0:InputArguments),NumericNodeId(i=15673)
            QualifiedName(0:RemoveIdentity),NumericNodeId(i=15674)
              QualifiedName(0:InputArguments),NumericNodeId(i=15675)
            QualifiedName(0:AddApplication),NumericNodeId(i=16217)
              QualifiedName(0:InputArguments),NumericNodeId(i=16218)
            QualifiedName(0:RemoveApplication),NumericNodeId(i=16219)
              QualifiedName(0:InputArguments),NumericNodeId(i=16220)
            QualifiedName(0:AddEndpoint),NumericNodeId(i=16221)
              QualifiedName(0:InputArguments),NumericNodeId(i=16222)
            QualifiedName(0:RemoveEndpoint),NumericNodeId(i=16223)
              QualifiedName(0:InputArguments),NumericNodeId(i=16224)
